No,Distance,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,CL,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,end
434,114060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,19.67,18.03,17.84,15.54,13.08,11.16,9.58,8.51,3.98,0,0.14,0.59,0.62,4.06,8.49,10.97,11.82,14.04,14.59,15.94,17.7,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1379.414,1379.413,1379.372,1379.306,1379.457,1379.453,1379.365,1379.18,1378.839,1377.579,1377.37,1377.086,1377.103,1377.103,1377.25,1377.318,1377.394,1377.314,1376.791,1376.728,1377.26,1377.276,1377.447,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,114069.77,,,,,,,,,,,,,,,,,,,,,,,,,,20,19.1,18.93,18.86,16.29,12.51,9.56,9.34,8.26,5.97,4.98,3.93,2.74,0,2.51,4.51,4.52,4.93,11.53,14.13,16.18,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1379.481,1379.513,1379.512,1379.408,1379.543,1379.547,1379.406,1379.374,1379.04,1378.471,1378.261,1378.09,1378.246,1378.357,1378.349,1378.686,1378.725,1378.817,1378.454,1378.624,1378.56,1378.521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,114080,,,,,,,,,,,,,,,,,,,,,,,,,,20,19.92,19.88,18.59,17.99,17.96,17,11.85,9.62,9,8.57,8.43,6.77,0,0.77,0.8,6.11,7.07,7.67,8.17,9.08,10.37,17.11,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1379.626,1379.626,1379.679,1379.706,1379.674,1379.668,1379.744,1379.757,1379.604,1379.161,1379.386,1379.679,1379.343,1379.117,1378.959,1378.897,1378.722,1378.524,1378.423,1378.456,1378.401,1378.312,1378.131,1377.932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,114091.52,,,,,,,,,,,,,,,,,,,,,,,,,,20,17.29,14.9,11.03,9.99,8.55,8.5,8.46,6.61,5.83,5.39,3.59,2.77,0,0.64,2.23,5.04,7.07,7.59,7.94,11.04,11.07,11.37,15.45,16.11,18.92,20,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1379.853,1379.869,1379.852,1379.907,1379.864,1378.776,1378.854,1378.86,1378.363,1378.454,1378.322,1379.349,1379.012,1379.045,1378.76,1379.183,1378.492,1378.628,1378.449,1378.455,1378.421,1378.401,1378.338,1377.952,1377.958,1378.107,1378.05,,,,,,,,,,,,,,,,,,,,,,,,,,
438,114100,,,,,,,,,,,,,,,,,,,,,,,20,17.84,17.08,10.95,10.36,10.2,9.93,9.37,6.53,3.35,3.08,2.4,1.76,1.34,0.18,0.12,0,0.98,1.03,2.51,4.59,5.86,6.26,7.4,9.39,9.64,9.81,10.22,10.22,12.69,13.25,15.08,16.91,17.63,20,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1380.001,1380.015,1380.004,1379.982,1379.972,1380.004,1379.831,1379.934,1379.861,1379.242,1379.26,1379.153,1378.84,1378.897,1378.93,1378.897,1379.098,1378.834,1378.843,1378.408,1378.427,1378.636,1378.656,1378.597,1378.456,1378.482,1378.384,1378.431,1378.39,1378.165,1378.162,1377.931,1377.789,1377.74,1377.691,,,,,,,,,,,,,,,,,,,,,
439,114120,,,,,,,,,,,,,,,,,,,,20,19.96,17.06,16.76,15.31,9.87,8.75,8.65,6.72,5.8,4.59,4.21,3.66,2.56,2.08,1.59,1.26,0.65,0.37,0,1.18,1.22,1.76,3.09,3.26,3.69,3.78,5.7,6.89,7.2,8,8.24,8.56,9.02,9.68,10,11.88,14.07,15.42,16.93,17.19,19.53,20,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1380.115,1380.111,1380.133,1380.189,1380.23,1380.305,1380.301,1380.306,1380.39,1380.273,1380.081,1380.053,1380.028,1379.795,1379.83,1379.715,1379.647,1379.676,1379.526,1379.779,1379.378,1379.399,1379.479,1379.504,1379.492,1379.415,1379.436,1379.417,1379.415,1379.376,1379.376,1379.417,1379.356,1379.344,1379.317,1379.28,1378.89,1378.747,1378.583,1378.576,1378.57,1378.396,1378.422,,,,,,,,,,,,,,,,
440,114135.91,,,,,,,,,,,,,,,,,,,,20,15.09,14.95,14.83,14.71,14.53,14.45,14.18,7.35,6.58,6.53,6.45,6.43,6.41,5.95,3.38,2.33,1.04,0.39,0,1.57,4.11,4.4,8.16,9.43,11.94,12,12.06,12.95,14.33,14.96,16.47,16.72,16.92,17.1,17.32,17.46,19.99,20,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1380.323,1380.515,1380.475,1380.46,1380.395,1380.473,1380.432,1380.485,1380.551,1380.497,1380.538,1380.499,1380.575,1380.56,1380.509,1380.306,1380.104,1379.689,1379.527,1379.633,1379.244,1379.111,1379.089,1379.032,1378.968,1378.825,1378.853,1378.87,1378.802,1378.783,1378.86,1379.059,1378.983,1379.087,1379.125,1379.097,1379.064,1378.798,1378.808,,,,,,,,,,,,,,,,,,,,
441,114140,,,,,,,,,,,,,,,,,,,,,,20,16.83,16.38,15.96,15.56,14.95,14.7,13.78,8.39,7.78,6.22,4.2,3.76,3.1,2.06,1.44,1.15,0,0.78,1.14,1.63,1.71,2.15,2.68,4.42,4.52,4.7,8.15,8.26,8.31,8.46,8.63,9.82,10.67,10.84,10.91,11.25,11.43,16.02,17.4,17.51,17.85,18.22,18.43,18.48,19.57,19.68,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1380.393,1380.518,1380.432,1380.485,1380.392,1380.447,1380.539,1380.56,1380.548,1380.567,1380.579,1380.323,1380.206,1380.088,1380.069,1379.923,1379.923,1379.763,1379.318,1379.293,1379.266,1379.337,1379.296,1379.295,1379.438,1379.401,1379.401,1379.099,1379.121,1379.089,1379.366,1379.441,1379.65,1379.685,1379.679,1379.751,1379.725,1379.666,1379.484,1379.356,1379.399,1379.262,1379.204,1379.091,1379.162,1378.942,1378.955,1378.965,,,,,,,,,
442,114160,,,,,,,,,,,,,,20,19.93,19.13,18.02,17.11,16.94,14.29,14.08,13.77,13.56,13.28,12.97,12.76,12.51,11.8,5.23,4.61,3.98,3.83,3.64,3.37,2.54,2.29,1.34,0.54,0,1.99,2.36,5.78,6.27,8.32,8.91,9.04,9.08,10.43,14.53,16.94,18.97,20,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1380.869,1380.863,1380.806,1380.972,1381.057,1380.901,1380.865,1380.916,1380.79,1380.795,1380.685,1380.729,1380.785,1380.772,1380.766,1380.859,1380.893,1380.925,1380.884,1380.952,1380.947,1380.971,1380.863,1380.992,1380.851,1381.018,1380.417,1380.377,1380.28,1380.276,1380.015,1379.944,1379.876,1379.956,1379.808,1379.548,1379.48,1379.385,1379.252,,,,,,,,,,,,,,,,,,,,,,,,,,
443,114180,,,,,,,,,,,20,19.93,19.15,18.58,17.77,17.61,16.68,15.98,15.09,14.9,14.65,14.47,14.3,11.66,11.44,11.19,10.94,10.71,10.39,9.82,3.72,3.28,3.01,2.92,2.78,2.51,2.18,1.58,0,0.3,0.83,2.23,2.57,2.7,4.63,4.83,4.9,5,5.09,6.21,11.53,11.83,12.33,14.59,16.27,19.2,20,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1381.463,1381.442,1381.373,1381.159,1381.111,1381.054,1381.079,1381.327,1381.173,1381.161,1381.116,1380.973,1381.051,1380.97,1380.971,1380.926,1380.896,1380.949,1381.011,1380.908,1381.03,1381.028,1381.006,1380.96,1381.006,1381.026,1381.061,1381.089,1381.335,1381.062,1381.041,1380.822,1380.733,1380.746,1380.639,1380.557,1380.516,1380.614,1380.581,1380.579,1380.452,1380.461,1380.508,1380.254,1380.037,1379.668,1379.648,,,,,,,,,,,,,,,,,,,,,
444,114189.83,,,,,,,,,,,,,,,,,,,,20,19.78,19.34,19.04,18.81,18.52,17.91,17.15,16.6,16.06,15.12,14.34,13.48,12.58,11.76,10.62,8.6,5.83,2.12,0,0.33,1.56,2.5,2.76,3.18,4.65,5.67,5.79,6.8,7.03,8.39,8.55,9.2,9.34,10.09,10.22,10.4,10.91,11.4,11.71,19.69,19.73,19.86,20,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1381.672,1381.558,1381.545,1381.646,1381.671,1381.674,1381.551,1381.259,1381.02,1381.079,1381.122,1381.073,1380.957,1380.941,1380.828,1380.996,1380.953,1380.976,1381.089,1381.376,1381.047,1380.866,1380.767,1380.729,1380.565,1380.298,1380.102,1380.084,1380.071,1379.957,1379.841,1379.843,1379.912,1379.903,1379.742,1379.764,1379.685,1379.8,1379.795,1379.797,1379.591,1379.604,1379.625,1379.614,,,,,,,,,,,,,,,
445,114200,,,,,,,,,,,20,19.32,17.39,17.23,16.85,15.89,15.65,14.58,13.54,13.37,13.23,13.08,11.57,10.03,9.9,9.65,9.51,8.04,7.92,7.8,7.69,7.6,7.4,0.91,0.86,0.86,0.78,0.72,0,3.23,3.42,8.37,8.6,8.72,8.86,12.32,17.93,18.65,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1381.763,1381.533,1381.315,1381.303,1381.244,1381.147,1381.125,1381.054,1381.093,1381.091,1380.973,1380.924,1381.091,1381.056,1381.072,1380.967,1381.023,1380.935,1381.04,1381.032,1380.962,1381.058,1381.01,1381.14,1381.09,1381.05,1381.046,1381.071,1381.326,1380.688,1380.666,1380.114,1380.184,1380.142,1380.128,1379.937,1380.077,1379.99,1379.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,114220,,,,,,,,,,,,,20,18.54,17.92,17.28,16.46,15.64,15.36,15.03,14.23,13.88,12.94,12.73,11.8,11.48,10.55,9.62,9.35,8.54,6.64,6.44,6.27,6.09,5.92,5.91,5.89,5.55,0,0.52,0.68,1.99,2.96,3.91,4.33,5.8,6.45,14.17,14.55,15.47,18.67,20,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1381.856,1381.977,1381.818,1381.674,1381.442,1381.147,1381.142,1381.119,1381.099,1381.079,1381.062,1381.005,1381.19,1381.154,1381.136,1381.249,1381.285,1381.235,1381.028,1381.035,1381.055,1381.095,1381.021,1381.091,1381.086,1381.085,1381.326,1381.072,1381.003,1381.062,1381.1,1381.078,1381.019,1380.997,1380.796,1380.173,1380.156,1379.844,1379.802,1379.744,,,,,,,,,,,,,,,,,,,,,,,,,,
447,114240,,,,,,,,,,,,,,,,,,,20,18.92,17.57,16.66,15.11,14.49,12.92,12.54,10.87,10.63,9.01,7.21,7.07,6.95,6.84,6.68,6.28,4.55,4.39,4.17,0,2.33,2.36,3.95,4.75,8.09,10.84,19.5,19.7,19.7,19.7,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1381.554,1381.513,1381.357,1381.338,1381.243,1381.194,1381.189,1381.116,1381.05,1381.06,1381.038,1381.115,1381.088,1381.042,1381.023,1381.127,1381.053,1381.2,1381.085,1381.091,1381.37,1381.095,1381.186,1381.098,1381.083,1380.65,1380.343,1380.17,1380.135,1380.141,1380.141,1380.132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,114248.36,,,,,,,,,,,,,,,,,20,19.86,19.33,18.69,18.25,17.51,15.6,14.8,13.54,12.69,11.75,10.92,10,9.22,8.54,7.92,6.99,4.75,3.77,3.68,3.55,1.19,0,0.32,1.44,3.09,3.53,7.15,8.09,8.42,8.86,9.36,9.83,10.25,10.93,11.23,11.83,13.26,13.4,13.54,13.75,17.51,18.75,18.85,19.03,19.28,19.3,19.53,19.58,20,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1381.375,1381.319,1381.373,1381.353,1381.23,1381.264,1381.027,1380.969,1380.929,1380.87,1380.966,1380.995,1380.969,1381.148,1381,1380.977,1381.174,1381.106,1381.09,1381.105,1381.057,1381.126,1381.371,1381.074,1381.075,1381.085,1381.065,1380.488,1380.288,1380.304,1380.303,1380.316,1380.283,1380.247,1380.227,1380.21,1380.221,1380.073,1380.11,1380.097,1380.089,1379.921,1380.172,1380.176,1380.016,1380.082,1380.02,1380.169,1379.931,1379.909,,,,,,,,,,,,
449,114251.12,,,,,,,,,,,,,,,,20,19.8,19.46,19.04,18.76,18.29,15.95,15.42,13.86,13.28,12.12,11.55,10.91,9.92,9.05,8.27,7.09,4.24,3.5,3.43,3.34,1.57,0.44,0,1.08,3.34,3.95,8.46,8.7,9.52,12.2,13,13.54,14.11,14.92,17.05,17.75,18.06,18.61,19.37,19.41,20,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1381.293,1381.344,1381.357,1381.272,1381.291,1381.238,1380.895,1380.88,1380.878,1380.824,1381.008,1380.998,1380.98,1381.125,1380.907,1380.92,1381.109,1381.134,1381.097,1381.088,1381.142,1381.092,1381.145,1381.362,1381.072,1381.166,1381.048,1380.325,1380.251,1380.261,1380.188,1380.098,1380.069,1380.037,1380.006,1379.891,1380.027,1379.898,1379.777,1379.695,1379.667,1379.96,,,,,,,,,,,,,,,,,,,,,
450,114254.21,,,,,,,,,,,,,,,20,19.82,19.72,19.6,19.44,19.34,19.16,16.34,16.1,14.22,13.93,12.52,12.24,11.93,10.7,9.62,8.65,7.19,3.65,3.2,3.15,3.09,1.99,1.29,0,0.7,3.64,4.43,7.29,7.88,8.38,9.24,9.61,9.97,10.5,10.66,12.11,12.63,12.71,13.7,14.75,16.24,16.54,16.64,17.18,18.14,19.47,19.55,20,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1381.269,1381.227,1381.233,1381.254,1381.247,1381.249,1381.19,1380.856,1380.874,1380.839,1380.823,1380.977,1380.987,1380.978,1381.113,1380.92,1380.876,1381.155,1381.142,1381.073,1381.122,1381.077,1381.107,1381.145,1381.344,1381.088,1381.146,1381.04,1380.531,1380.398,1380.267,1380.208,1380.231,1380.187,1380.106,1380.131,1380.117,1380.078,1380.082,1380.125,1380.029,1379.859,1379.795,1379.894,1379.757,1379.318,1379.275,1379.248,1379.465,,,,,,,,,,,,,,,
451,114260,,,,,,,,,,,,,,,20,19.98,19.9,18.16,17.94,17,16.05,15.61,14.57,13.61,12.95,11.84,11.17,8.79,7.59,7.51,7.45,7.38,2.92,2.85,2.8,2.75,2.73,2.62,0,4.2,5.04,5.71,8.4,9.46,9.79,10.33,10.67,14.61,15.05,15.68,15.9,16.32,17.08,19.17,20,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1381.292,1381.362,1381.371,1381.349,1381.331,1381.293,1381.398,1381.256,1381.419,1381.222,1381.159,1381.055,1380.995,1380.779,1381.085,1381.139,1381.088,1381.064,1381.048,1381.07,1381.1,1381.108,1381.104,1381.114,1381.312,1381.038,1381.039,1381.018,1380.729,1380.175,1380.206,1380.207,1380.171,1379.851,1379.761,1379.786,1379.687,1379.57,1379.473,1379.201,1379.23,,,,,,,,,,,,,,,,,,,,,,,
452,114280,,,,,,,,,,,,,,20,15.78,15.29,15.23,15.19,15.09,11.61,11.16,10.46,9.6,8.19,7.42,6.83,5.73,5.37,4.93,1.03,1.02,0.99,0.99,0.98,0.97,0.97,0.95,0.37,0,5.69,5.75,5.78,8.9,9.08,12.1,14.91,15.25,16.48,17.05,18.32,19.47,20,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1380.559,1380.543,1380.525,1380.526,1380.495,1380.517,1380.344,1380.417,1380.515,1380.7,1380.554,1380.676,1380.658,1380.825,1380.869,1380.897,1380.938,1380.939,1380.919,1380.989,1381.01,1381.001,1380.941,1380.922,1380.988,1381.205,1380.96,1380.907,1380.903,1380.961,1380.894,1379.827,1379.333,1379.33,1379.449,1379.492,1379.442,1379.454,1379.426,,,,,,,,,,,,,,,,,,,,,,,,,,
453,114292.71,,,,,,,,,,,,,,,,,20,19.86,19.82,18.72,18.66,17.56,17.43,16.48,12.65,12.08,11.96,11.69,9.34,9.12,7.83,6.49,5.32,5.11,4.98,4.82,4.81,3.46,0,0.2,2.32,6.48,6.55,8.02,8.79,10.55,11.17,11.78,12.59,17.98,18.71,19.28,20,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1381.75,1381.743,1381.745,1381.649,1381.677,1381.644,1381.574,1381.423,1381.33,1381.26,1381.276,1381.24,1380.894,1380.844,1380.651,1380.552,1380.529,1380.566,1380.709,1380.692,1380.684,1380.678,1381.168,1380.877,1380.914,1380.976,1380.971,1381.036,1380.617,1380.382,1380.344,1380.4,1380.376,1379.331,1379.275,1379.347,1379.288,,,,,,,,,,,,,,,,,,,,,,,,,
454,114300,,,,,,,,,,,,,,,,,,,,,,,,,,20,19.93,19.88,15.94,11.66,10.84,8.73,7.54,4.71,4.44,4.02,3.63,0.44,0,0.29,0.35,0.36,0.37,0.37,0.38,6.98,7.06,7.68,8.11,16.17,16.43,17.49,19.58,20,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1381.547,1381.551,1381.608,1381.231,1380.894,1380.941,1380.988,1380.842,1380.46,1380.554,1380.568,1380.59,1380.836,1381.103,1380.865,1380.894,1380.934,1380.874,1380.934,1380.894,1381.029,1381.024,1380.958,1380.721,1379.19,1379.161,1379.174,1379.127,1379.24,,,,,,,,,,,,,,,,,,,,,,,,
455,114313.72,,,,,,,,,,,,,,,,,,,20,19.39,19.34,18.72,17.44,16.9,15.54,15.36,14.14,13.12,12.35,11.76,11.5,8.12,7.19,6.73,6.67,5.95,0.76,0.28,0,0.42,1.4,5.77,7.69,8.93,10.32,12.23,14.22,14.81,16.09,17.73,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1381.677,1381.536,1381.58,1381.71,1381.755,1381.887,1381.802,1381.882,1381.56,1381.368,1381.291,1381.256,1381.306,1381.063,1380.918,1380.911,1381.004,1380.813,1380.726,1380.878,1381.05,1380.865,1380.826,1380.967,1380.973,1380.974,1380.941,1380.977,1380.142,1380.035,1380.003,1380.066,1379.195,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,114320,,,,,,,,,,,,,,,,,,,20,19.36,19.23,18.94,18.9,18.17,17.32,11.18,10.81,10.56,6.65,6.18,5.79,5.19,4.38,4.04,3.24,2.75,1.91,0.92,0,0.48,1.91,7.85,8.61,9.93,10.26,13.27,13.65,13.76,14,14.31,18.91,19.21,19.61,20,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1381.374,1381.339,1381.388,1381.222,1381.178,1381.224,1381.144,1381.123,1381.182,1381.166,1380.888,1380.729,1380.598,1380.472,1380.389,1380.331,1380.592,1380.547,1380.649,1380.9,1380.964,1380.744,1380.863,1380.987,1380.992,1380.922,1380.939,1380.921,1380.8,1380.737,1380.791,1380.72,1379.006,1378.973,1378.999,1378.948,,,,,,,,,,,,,,,,,,,,,,,,
457,114334.96,,,,,,,,,,20,19.28,15.83,15.5,15.3,15.22,14.51,13.03,12.71,12.03,11.57,11.5,10.94,10.74,9.96,9.19,8.36,7.69,7.39,7.3,7.24,6.57,6.32,5.77,5.46,4.72,3.99,3.84,0.44,0,2.81,3.25,4.99,5.89,9.3,11.04,12.52,14.69,18.09,19.34,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1380.927,1380.866,1380.811,1380.842,1380.912,1380.864,1380.817,1380.724,1380.682,1380.624,1380.665,1380.638,1380.598,1380.59,1380.632,1380.636,1380.585,1380.566,1380.55,1380.571,1380.62,1380.617,1380.589,1380.529,1380.491,1380.511,1380.453,1380.408,1380.458,1380.781,1380.751,1380.74,1380.787,1380.852,1380.945,1380.922,1380.876,1380.893,1379.792,1379.785,1379.458,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,114340,,,,,,,,,,,,,,,,,,,20,16.53,15.76,15.22,12.86,8.53,8.25,8.24,8.22,8.22,8.19,8.17,4.08,3.53,3.11,2.34,1.35,0.91,0.62,0.4,0,3.64,3.73,4.07,4.24,6.83,9.51,11.38,12.01,15.23,16.93,17.55,19.17,20,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1380.956,1380.963,1380.804,1380.831,1380.495,1380.238,1380.15,1380.159,1380.166,1380.225,1380.154,1380.19,1380.837,1380.811,1380.704,1380.43,1380.45,1380.387,1380.401,1380.443,1380.71,1380.791,1380.772,1380.77,1380.77,1380.823,1380.914,1380.873,1380.946,1380.852,1380.354,1380.346,1379.552,1379.37,,,,,,,,,,,,,,,,,,,,,,,,,,
459,114353.81,,,,,,,,,,,,,,,,,,,20,19.83,19.07,18.38,17.71,17.35,13.05,12.82,12.14,11.75,11.05,10.35,9.91,9.89,4.58,4.18,3.87,3.34,1.58,1.18,0,0.32,0.56,5.11,8.27,10.63,12.39,14.6,16.09,17.25,18.05,18.83,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1382.232,1382.265,1382.214,1382.055,1381.936,1381.989,1381.902,1381.993,1381.881,1382.051,1381.816,1381.591,1381.752,1381.715,1381.224,1381.202,1381.151,1381.131,1380.752,1380.862,1381.178,1380.923,1380.896,1380.734,1380.738,1380.859,1380.939,1380.916,1380.786,1380.219,1380.056,1379.905,1379.761,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,114360,,,,,,,,,,,,20,19.07,18.22,17.31,16.55,15.59,14.59,14.24,12.64,12.31,11.18,10.83,9,6.46,5.76,4.92,4.16,3.91,3.83,3.79,3.33,2.42,2.41,2.25,1.81,1.22,0.82,0,0.35,1.24,1.99,2.15,2.74,2.97,4.31,4.52,4.74,5.77,8.63,10.72,12.88,13.79,16.33,16.87,17.24,17.6,18.25,19.1,19.56,20,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1381.977,1382.037,1381.998,1381.903,1381.888,1381.806,1381.657,1381.625,1381.388,1381.346,1381.356,1381.35,1381.293,1381.24,1381.271,1381.316,1381.142,1381.161,1381.151,1381.211,1381.145,1381,1380.967,1381,1380.93,1380.705,1380.714,1380.819,1380.604,1380.704,1380.745,1380.778,1380.74,1380.736,1380.809,1380.841,1380.739,1380.737,1380.736,1380.841,1380.845,1380.915,1380.781,1380.541,1380.398,1380.427,1380.245,1380.122,1380.073,1379.936,,,,,,,,,,,,,,,,,
461,114368.57,,,,,,,,,,,,,,,,,,,20,18.51,18.3,18.09,16.9,16.49,15.25,14.92,13.36,5.42,5.39,5.32,5.26,5.12,4.05,3.41,3.2,2.49,1.85,0.61,0,0.34,0.43,0.74,6.44,8.04,12.64,13.57,16.28,16.85,17.26,17.76,18.59,19.52,20,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1381.998,1381.998,1381.972,1382.012,1381.697,1381.634,1381.492,1381.457,1381.295,1381.28,1381.242,1381.23,1381.259,1381.239,1380.992,1381.184,1381.23,1380.976,1380.925,1380.697,1380.717,1380.573,1380.633,1380.569,1380.686,1380.712,1380.818,1380.932,1380.8,1380.738,1380.837,1380.565,1380.309,1379.9,1379.796,,,,,,,,,,,,,,,,,,,,,,,,,
462,114374.91,20,19.65,19.08,18.91,18.09,17.97,17.8,17.31,16.89,15.54,14.22,13.53,11.21,11.04,10.28,10.17,10.07,9.55,8.91,8.67,7.23,6.75,6.22,6.07,5.43,5.28,4.7,4.37,4.27,3.46,2.44,2.42,2.42,1.94,1.51,0.52,0.51,0.5,0,3.63,3.8,6.91,10.02,11.77,14.08,15.77,17.42,17.69,18.01,18.56,19.16,19.9,20,,,,,,,,,,,,,,,,,,,,,,,,,
,,1381.795,1381.652,1381.525,1381.59,1381.475,1381.488,1381.441,1381.488,1381.398,1381.485,1381.349,1381.371,1381.298,1381.265,1381.269,1381.188,1381.219,1381.214,1381.108,1381.065,1380.965,1381.031,1380.943,1380.952,1381.262,1381.296,1381.242,1380.972,1380.926,1381.002,1380.901,1380.862,1380.893,1380.795,1380.681,1380.583,1380.588,1380.591,1380.878,1380.611,1380.524,1380.65,1380.699,1380.823,1380.828,1380.86,1380.746,1380.842,1380.657,1380.38,1380.116,1379.979,1380.008,,,,,,,,,,,,,,,,,,,,,,,,,
463,114380,,,,,,,,,,,,,,,,20,19.76,19.54,19.25,17.76,16.61,12.87,9.62,7.23,4.49,4,3.81,3.43,3.4,3.24,3.19,2.67,2.06,1.95,1.26,0.97,0.94,0.67,0,0.36,0.82,1.44,2.6,3.68,4.83,6.22,6.28,7.3,10.04,11.93,14.51,15.38,17.89,18.05,18.24,18.55,18.9,19.33,20,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1381.312,1381.399,1381.478,1381.542,1381.509,1381.406,1381.145,1380.831,1380.909,1381.04,1381.031,1380.989,1381.034,1381.001,1380.996,1381.046,1380.709,1380.67,1380.648,1380.515,1380.607,1380.613,1380.634,1381.038,1380.653,1380.768,1380.673,1380.365,1380.621,1380.554,1380.633,1380.575,1380.573,1380.679,1380.782,1380.856,1380.787,1380.749,1380.755,1380.66,1380.511,1380.415,1380.253,1380.214,,,,,,,,,,,,,,,,,,,
464,114388.36,,,,,,,,,,,,,,,,,,,,,,20,16.61,12.88,12.42,10.87,4.98,4.7,4.54,4.34,4.29,3.12,2.67,2.41,1.82,1.46,0.8,0.47,0,0.48,3.17,3.59,4.2,4.84,5.46,5.74,6.16,6.31,6.44,7.96,9.29,14.4,15.1,18.37,18.66,20,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1380.5,1380.279,1380.16,1380.083,1380.074,1380.541,1380.506,1380.565,1380.584,1380.555,1380.662,1380.493,1380.438,1380.504,1380.351,1380.396,1380.426,1380.663,1380.409,1380.386,1380.321,1380.358,1380.345,1380.423,1380.401,1380.431,1380.505,1380.477,1380.555,1380.568,1380.813,1380.812,1380.694,1380.74,1380.205,,,,,,,,,,,,,,,,,,,,,,
465,114393.24,,,,,,,,,,20,19.53,18.75,18.24,17.88,17.49,16.01,15.82,14.62,14.47,14.06,13.57,12.72,11.35,11.23,11.11,11.04,6.64,5.97,5.62,2.92,2.69,2.39,2.14,1.73,1.37,0.92,0.64,0.26,0,0.48,0.74,1.42,2.13,2.3,2.75,4.03,4.3,5.07,5.34,5.59,8.36,10.8,13.48,15.3,17.71,18.97,20,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1381.568,1381.662,1381.688,1381.659,1381.634,1381.614,1381.439,1381.482,1381.361,1381.31,1381.425,1381.443,1381.413,1381.492,1381.55,1381.543,1381.507,1380.962,1380.892,1380.907,1380.953,1380.771,1380.975,1380.911,1380.924,1380.835,1380.825,1380.805,1380.654,1380.943,1380.522,1380.553,1380.797,1380.752,1380.766,1380.662,1380.256,1380.283,1380.356,1380.442,1380.382,1380.493,1380.686,1380.748,1380.737,1380.66,1380.704,1380.3,,,,,,,,,,,,,,,,,,,,,
